,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
6797,movie,fred claus,david dobkin,"vince vaughn, paul giamatti, john michael higgins, miranda richardson, rachel weisz, kathy bates, trevor peacock, ludacris, elizabeth banks",united states,01-jan-21,2007,pg,115,"children & family movies, comedies",the holiday season is ruined for santa claus when his cranky older brother – a repo man with a sizable rap sheet – visits him at the north pole.
6798,movie,free willy,simon wincer,"jason james richter, lori petty, jayne atkinson, august schellenberg, michael madsen, michael ironside, richard riehle, mykelti williamson, michael bacall, danielle harris","united states, france, mexico",01-jan-20,1993,pg,112,"children & family movies, dramas","ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit."
6799,movie,freeway: crack in the system,marc levin,freeway rick ross,"united states, nicaragua",15-dec-17,2015,r,103,documentaries,"take in the true account of drug kingpin ""freeway"" rick ross's empire and how the cia helped him fuel america's  devastating crack cocaine epidemic."
6800,movie,freezer's campaign,sameh abdulaziz,"bayyumi fuad, chico, hesham maged, ahmed fathy, nesreen ameen, dareen haddad, bushra, samy maghawry",egypt,06-jun-19,2016,tv-ma,116,"comedies, international movies","when climate change makes egypt freeze over, intelligence officers pose as a film crew on location to seek a device that can eliminate the frost."
6801,movie,french dirty,"wade allain-marcus, jesse allain-marcus","wade allain-marcus, arjun gupta, melina lizette, elsa biedermann, katie blake, santana dempsey",united states,04-feb-16,2015,tv-ma,72,"dramas, independent movies","an aimless, unemployed millennial hangs out with his pals and resists growing up, until an affair with his best friend's girl forces him to change."
6802,movie,freshman year,jude okwudiafor johnson,"diallo thompson, natalia dominguez, benjamin a. onyango, gregory alan williams, desalene jones, wynton odd, ed gonzalez moreno, natasha dee davis, cameron schaefer, joshua flores-q",united states,03-mar-20,2019,tv-pg,104,"dramas, faith & spirituality",a devout preacher's son leaves his protective home to begin college and meets a self-reliant student who will test his faith and his heart.
6803,tv show,friday night tykes,unknown,unknown,united states,"january 17, 2018",2017,tv-pg,720,"docuseries, reality tv","this docuseries dives into the cutthroat world of texas youth football, where kids face grueling demands and pressure from coaches and parents to win."
6804,movie,friday the 13th,marcus nispel,"jared padalecki, danielle panabaker, amanda righetti, travis van winkle, aaron yoo, derek mears, jonathan sadowski, julianna guill, ben feldman, arlen escarpeta, ryan hansen",united states,01-jan-20,2009,r,97,horror movies,"a group of teenage camp counselors raises the ire of jason voorhees, a masked, homicidal maniac, in this remake of the classic slasher flick."
6805,movie,friend request,simon verhoeven,"alycia debnam-carey, william moseley, connor paolo, brit morgan, brooke markham, sean marquette, liesl ahlers, shashawnee hall, susan danford",germany,"april 18, 2018",2016,r,92,"horror movies, international movies",a popular college student's love of social media becomes her biggest regret when a mysterious account marks each of her friends for a grisly demise.
6807,movie,from japan to egypt,mahmoud karim,"ahmed eid, saki tsukamoto, nada moussa, mohammed tharwat",egypt,06-jun-19,2017,tv-14,93,"children & family movies, comedies, dramas","after his wife relocates to her home country of japan, an egyptian man – and father of two rambunctious kids – tries to win her back."
6808,movie,from paris with love,pierre morel,"john travolta, jonathan rhys meyers, kasia smutniak, richard durden, bing yin, amber rose revah, eric godon, françois bredon, chems dahmani, sami darr, didier constant","france, united kingdom, united states",08-sep-20,2010,r,93,"action & adventure, international movies",a low-level intelligence agent gets pulled into action and espionage above his pay grade when he's ordered to assist a trigger-happy senior agent.
6809,movie,froning: the fittest man in history,heber cannon,rich froning,united states,15-jul-18,2016,pg,99,"documentaries, international movies, sports movies",follow the grueling training regimen of rich froning jr. as he sets his sights on winning an unprecedented fourth crossfit games title.
6810,tv show,frozen planet,alastair fothergill,david attenborough,"united kingdom, united states, spain, germany, greece, canada",28-jan-16,2011,tv-pg,360,"british tv shows, docuseries, international tv shows",go on a journey through the arctic and antarctic with this visually stunning program that explores these wildernesses and their inhabitants.
6811,movie,frozen planet: on thin ice,unknown,david attenborough,"united kingdom, united states, spain, germany, greece, canada",28-jan-16,2011,tv-pg,47,movies,david attenborough journeys to both polar regions to investigate what rising temperatures will mean for the people and wildlife that live there.
6812,movie,frozen planet: the epic journey,unknown,david attenborough,"united kingdom, united states, spain, germany, greece, canada",28-jan-16,2011,tv-pg,52,movies,"collecting highlights from the epic documentary series that explores the entire polar year and the inhabitants, from the north to the south."
6813,movie,frozen river,courtney hunt,"melissa leo, misty upham, charlie mcdermott, michael o'keefe, mark boone junior, james reilly, jay klaitz, john canoe, dylan carusona, michael sky",united states,01-jul-19,2008,r,97,"dramas, independent movies","on a mohawk reservation on the canadian border, ray eddy teams with a widowed tribe member to smuggle illegal immigrants into the united states."
6814,movie,full out,sean cisterna,"jennifer beals, ana golja, art hindle, jake epstein, ramona milano, trevor tordjman, lamar johnson, asha bromfield, sarah fisher","canada, united states",01-sep-16,2015,tv-pg,88,"children & family movies, dramas, sports movies","after a debilitating accident ends her olympic dreams, gymnast ariana berlin finds recovery and hope in the world of hip-hop and college athletics."
6815,movie,functional fitness,bob rose,unknown,united states,01-jan-18,2016,tv-ma,106,documentaries,"this documentary explores the challenging, transformative world of high-intensity fitness programs through the eyes of the people who've embraced them."
6816,movie,furie,le van kiet,"ngo thanh van, phan thanh nhien, mai cat vi, thanh hoa, pham anh khoa",vietnam,25-sep-19,2019,tv-ma,97,"action & adventure, dramas, international movies","when traffickers kidnap her daughter from their village, vengeful hai phuong returns to saigon – and her outlaw roots – to take down the abductors."
6817,movie,furthest witness,adam del giudice,"aaron stanford, teri reeves, sean patrick flanery, forrest fyre, steven michael quezada, paul blott, travis hammer, ryan begay, jermaine washington, vincent mcdaniel","united states, united kingdom","april 24, 2019",2017,tv-ma,88,"dramas, thrillers","kyle helps people disappear, but when a crazed killer starts hunting down his latest client, he has to decide what he's willing to do to keep her safe."
6818,movie,g-force,hoyt yeatman,"bill nighy, will arnett, zach galifianakis, kelli garner, tyler patrick jones, piper mackenzie harris, gabriel casseus, jack conley, niecy nash, justin mentell, nicolas cage, sam rockwell, jon favreau, penélope cruz, steve buscemi, tracy morgan",united states,15-mar-19,2009,pg,88,"children & family movies, comedies","when a billionaire sets out to take over the world, only one special forces unit can handle the job – a squad of highly trained guinea pigs."
6819,movie,gabriel and the mountain,fellipe barbosa,"joão pedro zappa, caroline abras, alex alembe, leonard siampala, tony b. lesika, john goodluck, rashidi athuman, toney montana, george ngandu, rhosinah sekeleti, luke mpata, lewis gadson, manuela pacq","brazil, france",09-nov-18,2017,tv-ma,132,"dramas, independent movies, international movies","in a drama based on a true story, brazilian backpacker gabriel buchmann spends his gap year exploring africa. why does he die in the malawi mountains?"
6820,tv show,gabru: hip hop revolution,unknown,"amol parashar, harleen sethi, chaitanya sharma, priya malik, pratik dixit",india,01-jun-18,2018,tv-14,360,"international tv shows, tv dramas","three young, aspiring indian rappers make their way in a cutthroat music industry, dreaming of fame, stardom and ultimate hip-hop domination ."
6821,movie,gagarin: first in space,pavel parkhomenko,"yaroslav zhalnin, mikhail filippov, olga ivanova, vadim michman, vladimir steklov, viktor proskurin, nadezhda markina, daniil vorobyov",russia,15-sep-17,2013,tv-14,108,"dramas, international movies",this biopic of russian cosmonaut yuri gagarin follows his rise from childhood poverty to his selection and training for the 1961 vostok mission.
6822,tv show,galavant,unknown,"joshua sasse, timothy omundson, vinnie jones, mallory jansen, karen david, luke youngblood",united states,"september 7, 2016",2016,tv-pg,180,"tv action & adventure, tv comedies","in a time of legend, galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy."
6823,movie,galih dan ratna,lucky kuswandi,"refal hady, sheryl sheinafia, ayu dyah pasha, joko anwar, hengky tarnando, marissa anita, sari koeswoyo",indonesia,15-sep-18,2017,tv-pg,111,"dramas, international movies, romantic movies",sparks fly between the new girl at school and the misfit with a passion for music. yet the world threatens to put a stop to their innocent love song.
6824,tv show,game winning hit,unknown,"lego lee, alice ko, afalean lu, tsai chen-nan, wang chuan, leiya gao, charlize lin",taiwan,01-sep-16,2009,tv-ma,360,"international tv shows, tv comedies, tv dramas",an army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
6825,tv show,gangs of hassepur,unknown,"ragini khanna, mandira bedi, tanishaa mukerji",india,"april 15, 2017",2014,tv-pg,360,"international tv shows, stand-up comedy & talk shows, tv comedies","training a keen eye on hot-button political topics, this variety show features stand-up comedy, sketches and sarcastic celebrity impersonations."
6826,movie,gangs of new york,martin scorsese,"leonardo dicaprio, daniel day-lewis, cameron diaz, jim broadbent, john c. reilly, henry thomas, liam neeson, brendan gleeson, gary lewis, stephen graham","united states, italy",20-aug-19,2002,r,167,dramas,"in the crime-ridden slums of new york in the 1860s, vengeful orphan amsterdam vallon joins the cutthroat gang of his father's killer, bill the butcher."
6828,movie,garuda di dadaku,ifa isfansyah,"emir mahira, maudy koesnaedi, ikranagara, aldo tansani, marsha aruan, ari sihasale",indonesia,09-oct-18,2009,tv-pg,96,"children & family movies, dramas, sports movies","a determined boy will do anything to become a great soccer player, despite the wishes of his grandfather."
6829,movie,garuda in my heart 2,rudy soedjarwo,"emir mahira, aldo tansani, maudy koesnaedi, ramzi, rio dewanto, monica sayangbati, rendy khrisna",indonesia,30-nov-18,2011,tv-pg,95,"children & family movies, dramas, sports movies",a young soccer player sets out to prove he can lead his team to a championship – but being a winner is about more than just talent.
6830,movie,gehenna: where death lives,hiroshi katagiri,"eva swan, simon phillips, justin gordon, doug jones, lance henriksen, matthew edward hegstrom, patrick gorman, sean sprawling, masashi odate","japan, united states",10-dec-18,2016,tv-ma,107,"horror movies, thrillers",developers looking for a location to build a resort on saipan stumble into a subterranean bunker from wwii where an evil force lies in wait.
6831,movie,gelo,manbhavan singh,"jaspinder cheema, pavan malhotra, gurjit singh, dilawar sidhu, aditya sharma, raj dhaliwal",india,15-dec-17,2016,tv-ma,118,"dramas, international movies",a punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community.
6832,movie,gemini,p.k. baaburaaj,"esther anil, sijoy varghese, renji panicker, thanusree ghosh, sasi kalinga, kishore sathya, sethu lakshmi, rosin jolly",india,01-jul-18,2018,tv-pg,130,dramas,"despite growing up with traits that set her apart from her peers, a young adopted girl discovers her gift when she takes an interest in spelling bees."
6833,movie,gender revolution: a journey with katie couric,unknown,katie couric,united states,01-feb-18,2017,tv-pg,90,"documentaries, lgbtq movies","katie couric explores our evolving understanding of gender identity, speaking with transgender and intersex individuals about their experiences."
6834,tv show,genius of the ancient world,unknown,bettany hughes,united kingdom,01-aug-17,2015,tv-pg,360,"british tv shows, docuseries, international tv shows","historian bettany hughes travels to india, greece and china to explore the lives and times of buddha, socrates and confucius."
6835,tv show,genius of the modern world,unknown,bettany hughes,united kingdom,01-aug-17,2016,tv-pg,360,"british tv shows, docuseries, international tv shows","historian bettany hughes explores the intellectual landscapes that helped shape the work of karl marx, friedrich nietzsche and sigmund freud."
6836,tv show,gentlemen and gangsters,unknown,"david dencik, ruth vega fernandez, david fukamachi regnfors, sverrir gudnason, andreas kundler, sven nordin, boman oscarsson, lars green, sebastian sporsén, amanda ooms, magnus krepper, peter carlberg, peter bergared, christopher wagelin, lars helander, emilie jonsson",sweden,01-jun-16,2016,tv-ma,360,"crime tv shows, international tv shows, romantic tv shows","now on the run, a writer relates his previous year's escapades when he got sucked into the thrilling, sordid orbit of boxer and jazz man henry morgan."
6837,movie,george of the jungle 2,david grossman,"christopher showerman, julie benz, angus t. jones, thomas haden church, christina pickles, john cleese, michael clarke duncan, john kassir, kevin greutert, keith scott","united states, australia",20-dec-16,2003,pg,87,"children & family movies, comedies","now married and raising a son, clumsy ape-man george finds his jungle kingdom in peril as really mean lion challenges him for the throne."
6838,tv show,geronimo stilton,guy vasilovich,"brian drummond, erin mathews, richard ian cox, sarah edmondson, moneca stori","italy, canada, france",31-dec-17,2011,tv-y,360,"kids' tv, tv comedies","with the help of brainy and adventurous sidekicks, new mouse city's favorite journalist investigates mysteries that take him around the world,"
6839,movie,get him to the greek,nicholas stoller,"jonah hill, russell brand, elisabeth moss, rose byrne, colm meaney, sean ""p. diddy"" combs, aziz ansari, carla gallo, nick kroll, kristen schaal",united states,16-jan-20,2010,r,109,"comedies, music & musicals",ambitious young record company intern aaron must escort an unruly rock star to los angeles for the start of his anniversary concert.
6840,movie,get santa,christopher smith,"jodie whittaker, warwick davis, jim broadbent, stephen graham, nonso anozie, rafe spall, ewen bremner, matt king","united kingdom, united states",12-dec-14,2014,pg,103,"children & family movies, comedies","when santa gets arrested for trespassing after crashing his sleigh, it's up to a father-son team to spring him from jail and save christmas."
6841,tv show,get shorty,unknown,"ray romano, chris o'dowd",united states,01-nov-18,2017,tv-ma,360,"crime tv shows, tv comedies, tv dramas",organized crime enforcer miles daly strives to reinvent himself as a hollywood filmmaker in this satire based on elmore leonard's best-selling novel.
6842,movie,get smart,peter segal,"steve carell, anne hathaway, dwayne johnson, alan arkin, terence stamp, terry crews, david koechner, james caan, masi oka, nate torrence, bill murray",united states,"april 1, 2019",2008,pg-13,110,"action & adventure, comedies","when the identities of secret agents are compromised, hapless maxwell smart teams with far more capable agent 99 to thwart an evil terrorist group."
6843,movie,getting played,david silberg,"carmen electra, stacey dash, vivica a. fox, bill bellamy, kathy najimy, joe torry, dorian gregory, mindy sterling, joseph c. phillips, larry b. scott, michael jai white, sheryl underwood, earthquake",united states,01-nov-19,2005,pg-13,85,"comedies, romantic movies","tired of dealing with boyfriends who wrong them, gal pals lauren, emily and andrea decide to turn the tables and become the players themselves."
6844,movie,ghayal,rajkumar santoshi,"sunny deol, meenakshi sheshadri, amrish puri, moushumi chatterjee, kulbhushan kharbanda, om puri, raj babbar, shabbir khan",india,31-dec-19,1990,tv-14,163,"action & adventure, dramas, international movies","framed for his older brother's murder, a boxer seeks violent revenge against the true killer who's torn his family apart."
6845,movie,ghost house,rich ragsdale,"scout taylor-compton, james landry hébert, mark boone junior, michael s. new, russell geoffrey banks, rich lee gray, elana krausz, kevin ragsdale, wen-chu yang, katrina grey","thailand, united states",31-dec-17,2017,tv-ma,100,horror movies,"while visiting the site of a supernatural shrine in the thai countryside, a vacationing couple unwittingly upsets a vengeful demon."
6846,movie,ghost pain,"kazuchika kise, masahiko murata","maaya sakamoto, ikkyu juku, kenichirou matsuda, tarusuke shingaki, yoji ueda, miyuki sawashiro, mayumi asano, takanori hoshino, yasuhiro mamiya, kenji nojima",japan,24-feb-19,2013,tv-ma,58,"action & adventure, anime features, international movies","world war iv is over, but a bomb has gone off in newport city, killing a major arms dealer who may have ties with the mysterious 501 organization."
6847,movie,ghost rider,mark steven johnson,"nicolas cage, eva mendes, wes bentley, sam elliott, donal logue, matt long, peter fonda, brett cullen, raquel alessi, laurence breuls","united states, australia",01-oct-20,2007,pg-13,110,"action & adventure, sci-fi & fantasy","after selling his soul to save a loved one, daredevil biker johnny blaze pays the price by becoming a flame-skulled bounty hunter for mephistopheles."
6848,movie,ghost tears,kazuchika kise,"maaya sakamoto, ikkyu juku, kenichirou matsuda, tarusuke shingaki, shunsuke sakuya, takuro nakakuni, yoji ueda, kazuya nakai, miyuki sawashiro, tatsuhisa suzuki",japan,24-feb-19,2014,tv-ma,58,"action & adventure, anime features, international movies","as motoko and batou attempt to thwart a mysterious terrorist group, togusa tracks the killer of a man with a prosthetic leg made by mermaid's leg."
6849,tv show,ghost town gold,unknown,"brit eaton, scott glaves",united states,02-oct-19,2012,tv-14,360,reality tv,"two history buffs with an eye for valuables traverse through forgotten mines and abandoned landmarks in the wild, wild west to score collectibles."
6850,movie,ghost whispers,kazuchika kise,"maaya sakamoto, ikkyu juku, kenichirou matsuda, tomoyuki dan, takuro nakakuni, yoji ueda, kazuya nakai, miyuki sawashiro, ikuya sawaki, takako fuji",japan,24-feb-19,2013,tv-14,56,"action & adventure, anime features, international movies","freed of her responsibilities for the 501 organization, motoko must now learn how to take orders from aramaki."
6851,movie,ghulam-e-musthafa,partho ghosh,"nana patekar, raveena tandon, paresh rawal, aruna irani, mohan joshi, mohnish bahl, shivaji satham, vishwajeet pradhan, ashwin kaushal, satish shah",india,31-dec-19,1997,tv-ma,161,"action & adventure, dramas, international movies","giving up his life of crime for love, a gangster struggles with a moral dilemma when tragic events and enduring enemies take him back to the underworld."
6852,movie,gie,riri riza,"nicholas saputra, sita nursanti, lukman sardi, indra birowo, wulan guritno, thomas nawilis, tutie kirana, robby tumewu, jonathan mulia",indonesia,15-sep-18,2005,tv-14,141,"dramas, international movies",indonesian activist soe hok gie experiences a political awakening during the tumultuous regimes of suharto and sukarno. inspired by true events.
6853,movie,gigi,"vincente minnelli, charles walters","leslie caron, maurice chevalier, louis jourdan, hermione gingold, eva gabor, jacques bergerac, isabel jeans, john abbott, edwin jerome, corinne marchand",united states,01-nov-19,1958,g,115,"classic movies, comedies, music & musicals",gigi's an avant-garde french waif being groomed as the fille de joie of affluent and handsome gaston. soon gigi metamorphoses into a stunning beauty.
6854,movie,ginger & rosa,sally potter,"elle fanning, alessandro nivola, christina hendricks, alice englert, timothy spall, oliver platt, annette bening, jodhi may, oliver milburn, andrew hawley","united kingdom, denmark, canada, croatia",15-jul-18,2012,pg-13,90,"dramas, independent movies","with the cold war looming over them, teen best pals ginger and rosa share everything in early 1960s london – until betrayal drives them apart."
6855,movie,"girl, boy, bakla, tomboy",wenn v. deramas,"vice ganda, maricel soriano, joey marquez, ruffa gutierrez, cristine reyes, jc de vera, ejay falcon, angelu de leon, bobby andrews",philippines,27-feb-19,2013,tv-14,103,"comedies, international movies","quadruplets separated as babies reunite in manila when one needs a liver transplant, but long-held family resentments threaten to derail everything."
6856,movie,glow: the story of the gorgeous ladies of wrestling,brett whitcomb,unknown,united states,31-mar-17,2012,nr,77,"documentaries, sports movies","this engaging documentary chronicles the 1980s phenomenon ""the gorgeous ladies of wrestling,"" which elevated its female grapplers to star status."
6857,tv show,glowing embers,unknown,"henley hii, debbie goh, frederick lee, wymen yang, melvin sia, alvin wong",unknown,14-aug-17,2010,tv-14,360,"international tv shows, tv dramas","amid malaysia's charcoal industry, a woman deftly adapts to her environs as she juggles three men in her life: her husband, her lover and her friend."
6858,movie,god bless the broken road,harold cronk,"patrika darbo, kim delaney, jordin sparks, makenzie moss, liam matthews, andrew w. walker, lindsay pulsipher, gary grubbs, robin givens, arthur cartwright",united states,09-feb-19,2018,pg,111,"children & family movies, dramas, faith & spirituality","after a young mother is widowed by war, her faith is tested as she struggles to stay afloat financially and raise her daughter."
6859,movie,god knows where i am,"jedd wider, todd wider",lori singer,united states,22-oct-18,2016,tv-pg,103,documentaries,"through diary entries, this documentary follows the life and death of homeless woman linda bishop and her struggles with starvation, sanity and god."
6860,movie,god of war,gordon chan,"vincent zhao, sammo kam-bo hung, regina wan, yasuaki kurata, keisuke koide, timmy hung, michael tong","china, hong kong",16-dec-17,2017,nr,129,"action & adventure, international movies",a maverick leader and a clever young general take on japanese pirates amid bureaucratic intrigue in ming dynasty china.
6861,movie,god's not dead,harold cronk,"kevin sorbo, shane harper, david a.r. white, dean cain, benjamin a. onyango, paul kwo, hadeel sittu, trisha lafache, cory oliver, willie robertson, korie robertson",united states,"april 1, 2020",2014,pg,113,"dramas, faith & spirituality",a spiritual college student clashes with an atheistic professor who insists that students will only pass his class by admitting that god is dead.
6862,movie,god's not dead: a light in darkness,michael mason,"david a.r. white, john corbett, shane harper, ted mcginley, jennifer taylor, benjamin a. onyango, tatum o'neal, cissy houston",united states,04-dec-18,2018,pg,106,"dramas, faith & spirituality","after a fire breaks out at his church, a pastor faces a legal battle against university leaders who wish to push the congregation off the campus."
6863,movie,god's own country,francis lee,"josh o'connor, alec secareanu, ian hart, gemma jones",united kingdom,01-may-18,2017,tv-ma,105,"dramas, independent movies, international movies","in yorkshire, a withdrawn gay farmer begins a torrid affair with a romanian migrant worker who shows him the depths of his capacity for affection."
6864,movie,gol maal,hrishikesh mukherjee,"amol palekar, bindiya goswami, deven verma, utpal dutt, shubha khote, manju singh, dina pathak, pushpa, david abraham, asrani",india,31-dec-19,1979,tv-pg,137,"classic movies, comedies, international movies","when circumstances at work compel ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry ram’s fictitious brother."
6865,movie,golden time,takuya inaba,unknown,japan,01-nov-17,2013,tv-y,22,"international movies, sci-fi & fantasy","in the 1980s, a recently discarded television set from the 1960s refuses to accept its fate and tries to break out of the junkyard."
6866,movie,goldeneye,martin campbell,"pierce brosnan, sean bean, izabella scorupco, famke janssen, joe don baker, judi dench, robbie coltrane, gottfried john, alan cumming, tchéky karyo, desmond llewelyn, samantha bond, michael kitchen, serena gordon, simon kunz","united kingdom, united states",31-dec-19,1995,pg-13,130,action & adventure,"pierce brosnan takes his first turn as debonair secret agent james bond, who investigates the destruction of a russian satellite weapons base."
6867,movie,goldie,sam de jong,"slick woods, george sample iii, shaquila angela griszell, danny hoch, khris davis, jazmyn davis, alana tyler-tomkins, fran jaye",united states,22-jun-20,2019,tv-ma,89,dramas,"when a bold teen mounts a gritty pursuit to dance in a music video, she must also evade child services so she can keep her younger sisters together."
6868,tv show,goldie & bear,unknown,"natalie lander, georgie kidder",united states,"october 31, 2018",2017,tv-y,180,kids' tv,"best pals goldie and bear, from ""goldilocks and the three bears,"" join other characters from beloved stories for adventures in the fairy tale forest."
6869,movie,goldstone,ivan sen,"aaron pedersen, alex russell, jacki weaver, cheng pei-pei, david gulpilil, michelle lim davidson, david wenham, tommy lewis, tommy caldwell",australia,10-dec-18,2016,r,110,thrillers,"in the australian outback, an indigenous cop on a missing persons case unearths a trafficking ring and runs afoul of political-industrial interests."
6870,movie,golmaal: fun unlimited,rohit shetty,"ajay devgn, tusshar kapoor, arshad warsi, sharman joshi, paresh rawal, rimi sen, sushmita mukherjee, vrajesh hirjee",india,31-dec-19,2006,tv-14,148,"comedies, international movies","between thwarting crooks and wooing the belle next door, four pranksters get in over their heads when they bamboozle their way into a couple’s bungalow."
6871,tv show,gomorrah,unknown,"marco d'amore, fortunato cerlino, salvatore esposito, fabio de caro, christian giroso, giovanni buselli, carmine monaco, lino musella, marco palvetti, vincenzo fabricino, maria pia calzone, domenico balsamo, emanuele vicorito, carmine battaglia, alessio gallo","italy, germany","august 21, 2017",2016,tv-ma,180,"crime tv shows, international tv shows, tv dramas","mafia activity in naples is at the center of this series, which focuses on internal struggles that follow after the head of a family is imprisoned."
6872,movie,gone are the days,mark landre gould,"lance henriksen, tom berenger, meg steedle, danny trejo",united states,01-jan-19,2018,r,100,independent movies,"as a notorious outlaw comes to grips with his past, he reconnects with his estranged daughter and gets one more shot to make things right."
6873,tv show,gonul,neslihan yesilyurt,"gökçe bahadır, engin öztürk, onur saylak",turkey,12-jul-17,2015,tv-14,360,"international tv shows, tv dramas, tv thrillers","a nurse escapes from her surgeon fiancé after his ex reveals his dark secrets. she later finds love again, but a car accident changes everything."
6874,movie,good kids,chris mccoy,"nicholas braun, zoey deutch, mateo arias, israel broussard, dayo okeniyi, julia garner, kevin chapman, ashley judd",united states,19-jan-17,2016,r,90,"comedies, independent movies",four overachieving friends spend the summer after finishing high school doing everything possible to enjoy the party life and ruin their reputations.
6875,movie,good kill,andrew niccol,"ethan hawke, january jones, bruce greenwood, zoë kravitz, jake abel, ryan montano, dylan kenin, stafford douglas",united states,"april 2, 2017",2014,r,103,dramas,"as tommy egan pilots armed drones over afghanistan from the safe comfort of las vegas, the remote nature of his work begins to raise moral questions."
6876,movie,good kisser,wendy jo carlton,"kari alison hodge, rachel paulson, julia eringer",united states,20-aug-20,2019,tv-ma,75,"comedies, dramas, independent movies","hoping to give their relationship a boost, jenna and kate arrange to spend an evening with a third woman, but things take a turn once the sparks fly."
6877,movie,good luck,tarek abdel moaty,"ahmed eid, may kassab, diaa el merghany, samy maghawry, badria tolba, hassan abdulfattah, ahmed safwat, sayed sadek, laila gamal",egypt,21-jun-19,2012,tv-ma,99,"dramas, international movies","seeking an apartment to share with his wife, an apolitical man starts to question his own modest goals as revolution swirls around him."
6878,movie,"good night, and good luck",george clooney,"david strathairn, patricia clarkson, george clooney, jeff daniels, robert downey jr., frank langella, ray wise, robert john burke, tate donovan, alex borstein, matt ross, grant heslov","united states, france, united kingdom, japan",02-jun-19,2005,pg,93,dramas,veteran television newsman edward r. murrow faces off against sen. joseph mccarthy and his crusade to quell the threat of communism in america.
6879,movie,good people,henrik ruben genz,"james franco, kate hudson, tom wilkinson, omar sy, sam spruell, anna friel, thomas arnold, oliver dimsdale, diana hardcastle, michael jibson, diarmaid murtagh","united states, united kingdom, denmark, sweden",08-sep-17,2014,r,90,"action & adventure, thrillers",a struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
6880,movie,goodfellas,martin scorsese,"robert de niro, ray liotta, joe pesci, lorraine bracco, paul sorvino, frank sivero, tony darrow, mike starr, frank vincent, chuck low",united states,01-jan-21,1990,r,145,"classic movies, dramas",former mobster henry hill recounts his colorful yet violent rise and fall in a new york crime family – a high-rolling dream turned paranoid nightmare.
6881,movie,gook,justin chon,"simone baker, justin chon, david so, curtiss cook jr., sang chon, ben munoz, omono okojie, isaiah jarel",united states,06-mar-18,2017,tv-ma,95,"dramas, independent movies","amidst the looting and chaos of the la riots, two korean-american brothers fight to save their struggling shoe store while contemplating their future."
6882,movie,goon,michael dowse,"seann william scott, jay baruchel, liev schreiber, alison pill, marc-andré grondin, kim coates, eugene levy, nicholas campbell, richard clarkin, jonathan cherry","united states, canada",15-aug-17,2011,r,92,"comedies, sports movies","when he's seen dispatching a rude opposing hockey player in the stands, doug glatt is hired by a rival team ... for his fighting skills."
6883,movie,goosebumps 2: haunted halloween,ari sandel,"jeremy ray taylor, madison iseman, caleel harris, wendi mclendon-covey, chris parnell, ken jeong, jack black","united states, united kingdom","april 25, 2019",2018,pg,90,"children & family movies, comedies","three teens spend their halloween trying to stop a magical book, which brings characters from the ""goosebumps"" novels to life."
6884,movie,gosford park,robert altman,"eileen atkins, bob balaban, alan bates, charles dance, stephen fry, michael gambon, richard e. grant, tom hollander, derek jacobi, kelly macdonald, helen mirren, jeremy northam, clive owen, ryan phillippe, maggie smith, geraldine somerville, kristin scott thomas, sophie thompson, emily watson, james wilby","united states, united kingdom, italy",01-nov-19,2001,r,137,"comedies, dramas, international movies","in this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of sir william mccordle, who is soon found murdered."
6885,tv show,gossip girl,unknown,"blake lively, leighton meester, penn badgley, chace crawford, ed westwick, kelly rutherford, matthew settle, taylor momsen, jessica szohr, zuzanna szadkowski, connor paolo",united states,"october 8, 2013",2012,tv-14,1080,"tv dramas, teen tv shows",a group of hyperprivileged manhattan private-school kids seem to get away with everything. except an anonymous blogger is watching their every move.
6886,movie,gothika,mathieu kassovitz,"halle berry, robert downey jr., charles s. dutton, john carroll lynch, bernard hill, penélope cruz, dorian harewood, bronwen mantel","united states, france, canada, spain",01-jan-21,2003,r,98,"horror movies, thrillers","after a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her."
6887,movie,gour hari dastaan: the freedom file,ananth narayan mahadevan,"vinay pathak, konkona sen sharma, ranvir shorey, tannishtha chatterjee, rajit kapoor, vikram gokhale, vipin sharma, rahul vohra, saurabh shukla, asrani",india,15-oct-17,2015,tv-14,109,"dramas, independent movies, international movies",a former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in india's freedom movement.
6888,movie,gran torino,clint eastwood,"clint eastwood, bee vang, ahney her, christopher carley, john carroll lynch, brian haley, geraldine hughes, brian howe, william hill, dreama walker","germany, united states",01-oct-20,2008,r,117,dramas,a newly widowed korean war veteran faces his racism and his past when the son of the hmong family next door tries to steal his beloved 1972 gran torino.
